etaf, phif, dF
-4.400000, -0.300000, 0.001372
-4.400000, -0.280000, 0.001403
-4.400000, -0.260000, 0.001432
-4.400000, -0.240000, 0.001461
-4.400000, -0.220000, 0.001487
-4.400000, -0.200000, 0.001513
-4.400000, -0.180000, 0.001536
-4.400000, -0.160000, 0.001558
-4.400000, -0.140000, 0.001577
-4.400000, -0.120000, 0.001594
-4.400000, -0.100000, 0.001609
-4.400000, -0.080000, 0.001621
-4.400000, -0.060000, 0.001631
-4.400000, -0.040000, 0.001637
-4.400000, -0.020000, 0.001642
-4.400000, 0.000000, 0.001643
-4.400000, 0.020000, 0.001642
-4.400000, 0.040000, 0.001638
-4.400000, 0.060000, 0.001631
-4.400000, 0.080000, 0.001621
-4.400000, 0.100000, 0.001609
-4.400000, 0.120000, 0.001594
-4.400000, 0.140000, 0.001577
-4.400000, 0.160000, 0.001558
-4.400000, 0.180000, 0.001537
-4.400000, 0.200000, 0.001513
-4.400000, 0.220000, 0.001488
-4.400000, 0.240000, 0.001461
-4.400000, 0.260000, 0.001433
-4.400000, 0.280000, 0.001403
-4.400000, 0.300000, 0.001373
-4.400000, 0.320000, 0.001341
-4.400000, 0.340000, 0.001309
-4.400000, 0.360000, 0.001276
-4.400000, 0.380000, 0.001242
-4.400000, 0.400000, 0.001208
-4.400000, 0.420000, 0.001174
-4.400000, 0.440000, 0.001140
-4.400000, 0.460000, 0.001106
-4.400000, 0.480000, 0.001073
-4.400000, 0.500000, 0.001039
-4.400000, 0.520000, 0.001006
-4.400000, 0.540000, 0.000973
-4.400000, 0.560000, 0.000941
-4.400000, 0.580000, 0.000909
-4.400000, 0.600000, 0.000878
-4.400000, 0.620000, 0.000848
-4.400000, 0.640000, 0.000818
-4.400000, 0.660000, 0.000789
-4.400000, 0.680000, 0.000761
-4.400000, 0.700000, 0.000734
-4.400000, 0.720000, 0.000707
-4.400000, 0.740000, 0.000682
-4.400000, 0.760000, 0.000657
-4.400000, 0.780000, 0.000632
-4.400000, 0.800000, 0.000609
-4.400000, 0.820000, 0.000586
-4.400000, 0.840000, 0.000565
-4.400000, 0.860000, 0.000544
-4.400000, 0.880000, 0.000523
-4.400000, 0.900000, 0.000504
-4.400000, 0.920000, 0.000485
-4.400000, 0.940000, 0.000467
-4.400000, 0.960000, 0.000449
-4.400000, 0.980000, 0.000433
-4.400000, 1.000000, 0.000416
-4.300000, -1.000000, 0.000419
-4.300000, -0.980000, 0.000435
-4.300000, -0.960000, 0.000452
-4.300000, -0.940000, 0.000470
-4.300000, -0.920000, 0.000488
-4.300000, -0.900000, 0.000507
-4.300000, -0.880000, 0.000526
-4.300000, -0.860000, 0.000547
-4.300000, -0.840000, 0.000568
-4.300000, -0.820000, 0.000590
-4.300000, -0.800000, 0.000613
-4.300000, -0.780000, 0.000636
-4.300000, -0.760000, 0.000660
-4.300000, -0.740000, 0.000685
-4.300000, -0.720000, 0.000711
-4.300000, -0.700000, 0.000738
-4.300000, -0.680000, 0.000765
-4.300000, -0.660000, 0.000794
-4.300000, -0.640000, 0.000823
-4.300000, -0.620000, 0.000852
-4.300000, -0.600000, 0.000883
-4.300000, -0.580000, 0.000914
-4.300000, -0.560000, 0.000946
-4.300000, -0.540000, 0.000978
-4.300000, -0.520000, 0.001011
-4.300000, -0.500000, 0.001044
-4.300000, -0.480000, 0.001078
-4.300000, -0.460000, 0.001112
-4.300000, -0.440000, 0.001146
-4.300000, -0.420000, 0.001180
-4.300000, -0.400000, 0.001214
-4.300000, -0.380000, 0.001248
-4.300000, -0.360000, 0.001282
-4.300000, -0.340000, 0.001315
-4.300000, -0.320000, 0.001347
-4.300000, -0.300000, 0.001379
-4.300000, -0.280000, 0.001410
-4.300000, -0.260000, 0.001439
-4.300000, -0.240000, 0.001468
-4.300000, -0.220000, 0.001495
-4.300000, -0.200000, 0.001520
-4.300000, -0.180000, 0.001544
-4.300000, -0.160000, 0.001565
-4.300000, -0.140000, 0.001585
-4.300000, -0.120000, 0.001602
-4.300000, -0.100000, 0.001616
-4.300000, -0.080000, 0.001629
-4.300000, -0.060000, 0.001638
-4.300000, -0.040000, 0.001645
-4.300000, -0.020000, 0.001649
-4.300000, 0.000000, 0.001651
-4.300000, 0.020000, 0.001649
-4.300000, 0.040000, 0.001645
-4.300000, 0.060000, 0.001638
-4.300000, 0.080000, 0.001629
-4.300000, 0.100000, 0.001617
-4.300000, 0.120000, 0.001602
-4.300000, 0.140000, 0.001585
-4.300000, 0.160000, 0.001566
-4.300000, 0.180000, 0.001544
-4.300000, 0.200000, 0.001521
-4.300000, 0.220000, 0.001495
-4.300000, 0.240000, 0.001468
-4.300000, 0.260000, 0.001440
-4.300000, 0.280000, 0.001410
-4.300000, 0.300000, 0.001380
